Tỉnh/TP,Tổng số ca,Tử vong
Hà Nội,1.610.600,1.221
TP. Hồ Chí Minh,613.750,19.984
Nghệ An,487.603,145
Bắc Giang,387.860,91
Vĩnh Phúc,369.425,19
Hải Dương,364.319,114
Quảng Ninh,350.203,142
Bắc Ninh,345.872,136
Phú Thọ,322.698,97
Bình Dương,321.076,3.518
Nam Định,296.492,149
Thái Bình,293.259,23
Hưng Yên,240.578,5
Hòa Bình,236.825,102
Thái Nguyên,186.192,111
Lào Cai,184.322,38
Đắk Lắk,170.585,201
Thanh Hóa,168.793,107
Lạng Sơn,157.179,84
Sơn La,151.214,0
Yên Bái,149.862,13
Cà Mau,145.934,357
Tuyên Quang,143.520,14
Tây Ninh,137.863,919
Bình Định,137.314,281
Quảng Bình,125.184,74
Hà Giang,122.260,80
Hải Phòng,120.912,135
Khánh Hòa,118.018,361
Bình Phước,117.547,224
Bà Rịa – Vũng Tàu,107.185,495
Đồng Nai,106.745,1.900
Vĩnh Long,101.099,829
Đà Nẵng,100.661,337
Ninh Bình,100.103,91
Bến Tre,97.578,483
Cao Bằng,95.698,57
Lâm Đồng,92.434,141
Điện Biên,88.461,20
Hà Nam,85.455,65
Quảng Trị,83.373,38
Cần Thơ,76.404,951
Bắc Kạn,74.780,28
Trà Vinh,74.658,115
Lai Châu,74.233,0
Đắk Nông,73.031,47
Gia Lai,69.644,116
Bình Thuận,52.573,477
Hà Tĩnh,51.182,50
Đồng Tháp,50.667,1.007
Quảng Nam,49.233,150
Long An,49.001,1.088
Quảng Ngãi,47.939,127
Thừa Thiên Huế,46.672,173
Bạc Liêu,46.464,470
Phú Yên,42.741,137
An Giang,42.273,1.321
Kiên Giang,39.817,1.027
Tiền Giang,36.212,1.290
Sóc Trăng,34.354,633
Kon Tum,26.139,1
Hậu Giang,17.097,231
Ninh Thuận,8.704,60
